name;code
4Sight Holdings Limited ; 4SI
Accelerate Property Fund Limited ; APF
Acsion Limited ; ACS
Adapt It Holdings Limited ; ADI
Adcock Ingram Holdings Limited ; AIP
Adcorp Holdings Limited ; ADR
Advanced Health Limited ; AVL
Advtech Limited ; ADH
AECI Limited ; AFE
African And Overseas Enterprises Limited ; AOVP
African Dawn Capital Limited ; ADW
African Equity Empowerment Investments Limited ; AEE
African Media Entertainment Limited ; AME
AFRICAN RAINBOW CAP INV ; AIL
AFRICAN RAINBOW MINERALS ; ARI
Afrimat Limited ; AFT
AFRISTRAT INV HLDGS LTD ; ATI
Afrocentric Investment Corp Limited ; ACT
AH-Vest Limited ; AHL
Alaris Holdings Limited ; ALH
Alexander Forbes Group Holdings Limited ; AFH
Allied Electronics Corporation Limited ; AEL
ALPHAMIN RESOURCES CORP ; APH
ALVIVA HOLDINGS LTD ; AVV
AMPLATS ; AMPLATS
Anchor Group Limited ; ACG
Anglo American Plc ; AGL
Anglogold Ashanti Limited ; ANG
Anheuser-Busch InBev SA NV ; ANH
ARB Holdings Limited ; ARH
Arcelormittal South Africa Limited ; ACL
ARDEN CAPITAL LIMITED ; ACZ
Argent Industrial Limited ; ART
Arrowhead Properties Limited A ; AHA
Ascendis Health Limited ; ASC
Aspen Pharmacare Holdings Limited ; APN
Astoria Investments Limited ; ARA
Astral Foods Limited ; ARL
Attacq Limited ; ATT
Aveng Limited ; AEG
AVI Limited ; AVI
AYO Technology Solutions Limited ; AYO
Balwin Properties Pty Limited ; BWN
Barloworld Limited ; BAW
Basil Read Holdings Limited ; BSR
Bauba Platinum Limited ; BAU
Bell Equipment Limited ; BEL
BHP ; BHP
Bid Corp Limited ; BID
Blue Label Telecoms Limited ; BLU
Bowler Metcalf Limited ; BCF
BRAIT SE ; BAT
Brikor Limited ; BIK
Brimstone Investment Corporation Ld ; BRT
British American Tobacco Plc ; BTI
Buffalo Coal Corp ; BUC
CAFCA Limited ; CAC
Calgro M3 Holdings Limited ; CGR
Capital & Counties Properties Plc ; CCO
Capital & Regional Plc ; CRP
Capital Appreciation Limited ; CTA
Cartrack Holdings Limited ; CTK
Cashbuild Limited ; CSB
Castleview Property Fund Limited ; CVW
Caxton CTP Publishers & Printers Ltd ; CAT
Choppies Enterprises Limited ; CHP
Chrometco Limited ; CMO
City Lodge Hotels Limited ; CLH
Clicks Group Limited ; CLS
Cognition Holdings Limited ; CGN
Comair Limited ; COM
Combined Motor Holdings Limited ; CMH
Compagnie Financiere Richemont SA ; CFR
Consolidated Infrastructure Group Ltd ; CIL
Coronation Fund Managers Limited ; CML
Crookes Brothers Limited ; CKS
CSG Holdings Limited ; CSG
Curro Holdings Limited ; COH
Datatec Limited ; DTC
Delta Property Fund Limited ; DLT
Deneb Investments Limited ; DNB
Dipula Income Fund Limited ; DIA
Dis-Chem Pharmacies ; DCP
Distell Group Limited ; DST
DRDGOLD Limited ; DRD
