ID;category_id;parent_product_id;supplier_id;Product Name;product_code;Description;Selling Price;Supplier Price;Gross Profit;Is Product Active;Size;Qty;Next Price Update Date;Image URL;;;;
1;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 63mm";MF-5-1;"90&deg; ELBOW - PE100 MOULDED SDR17 63mm";29,622;29,622;25;1;63mm;1;2022/01/01;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
2;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 75mm";MF-5-2;"90&deg; ELBOW - PE100 MOULDED SDR17 75mm";50,424;50,424;25;1;75mm;1;2022/01/02;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;
3;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 90mm";MF-5-3;"90&deg; ELBOW - PE100 MOULDED SDR17 90mm";76,056;76,056;25;1;90mm;1;2022/01/03;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
4;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 110mm";MF-5-4;"90&deg; ELBOW - PE100 MOULDED SDR17 110mm";120,888;120,888;25;1;110mm;1;2022/01/04;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
5;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 125mm";MF-5-5;"90&deg; ELBOW - PE100 MOULDED SDR17 125mm";181,782;181,782;25;1;125mm;1;2022/01/05;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
6;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 140mm";MF-5-6;"90&deg; ELBOW - PE100 MOULDED SDR17 140mm";213,048;213,048;25;1;140mm;1;2022/01/06;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
7;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 160mm";MF-5-7;"90&deg; ELBOW - PE100 MOULDED SDR17 160mm";281,124;281,124;25;1;160mm;1;2022/01/07;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
8;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 180mm";MF-5-8;"90&deg; ELBOW - PE100 MOULDED SDR17 180mm";408,396;408,396;25;1;180mm;1;2022/01/08;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
9;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 200mm";MF-5-9;"90&deg; ELBOW - PE100 MOULDED SDR17 200mm";533,322;533,322;25;1;200mm;1;2022/01/09;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
10;26;5;13;"90&deg; ELBOW - PE100 MOULDED SDR17 225mm";MF-5-10;"90&deg; ELBOW - PE100 MOULDED SDR17 225mm";815,244;815,244;25;1;225mm;1;2022/01/10;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png;;;;https://bailaerp.bt-industrial.co.za/storage/app/media/products/p1.png
