productid,class_name,diameter,quote_weight,backup_quote_weight,New Quote Weight,production_weight,New KL,,Quote vs production,,,,
1,PN4,315,7.44,7.55,7.55,7.44,7.599,,-1.48%,,Adjustment,0.65%,
2,PN4,355,9.48,9.605,9.61,9.48,9.667,,-1.32%,,,,
3,PN4,400,12.03,12.175,12.18,12.03,12.254,,-1.21%,,,,
4,PN4,450,15.19,15.352,15.36,15.19,15.452,,-1.07%,,,,
5,PN4,500,18.87,19.113,19.12,18.87,19.237,,-1.29%,,,,
6,PN4,560,23.55,23.8,23.8,23.55,23.955,,-1.06%,,,,
7,PN4,630,29.78,30.109,30.11,29.78,30.305,,-1.10%,,,,
8,PN4,710,37.92,38.374,38.38,37.92,38.623,,-1.20%,,,,
9,PN4,800,48.12,48.66,48.66,48.12,48.976,,-1.12%,,,,
10,PN4,900,60.77,61.375,61.38,60.77,61.774,,-1.00%,,,,
11,PN4,1000,75.2,75.995,76,75.2,76.489,,-1.06%,,,,
12,PN5,315,9.31,9.43,9.43,9.31,9.491,,-1.29%,,,,
13,PN5,355,11.8,11.927,11.93,11.8,12.005,,-1.08%,,,,
14,PN5,400,15,15.188,15.19,15,15.287,,-1.25%,,,,
15,PN5,450,18.93,19.128,19.13,18.93,19.252,,-1.05%,,,,
16,PN5,500,23.32,23.591,23.6,23.32,23.744,,-1.16%,,,,
17,PN5,560,29.36,29.691,29.7,29.36,29.884,,-1.13%,,,,
18,PN5,630,37.07,37.455,37.46,37.07,37.698,,-1.04%,,,,
19,PN5,710,47.19,47.676,47.68,47.19,47.986,,-1.03%,,,,
20,PN5,800,59.76,60.395,60.4,59.76,60.788,,-1.06%,,,,
21,PN5,900,75.73,76.501,76.51,75.73,76.998,,-1.02%,,,,
22,PN5,1000,93.3,93.802,93.81,93.3,94.412,,-0.54%,,,,
23,PN6,50,0.3,0.311,0.32,0.3,0.313,,-3.67%,,,,
24,PN6,63,0.48,0.492,0.5,0.48,0.495,,-2.50%,,,,
25,PN6,75,0.66,0.673,0.68,0.66,0.677,,-1.97%,,,,
26,PN6,90,0.95,0.977,0.98,0.95,0.983,,-2.84%,,,,
27,PN6,110,1.4,1.434,1.44,1.4,1.443,,-2.43%,,,,
