productid,active,class_name,diameter,Pexmartweight,quote_weight,production_weight,,
224,1,PN4,50,0.24,0.242,0.24,,*
223,1,PN4,200,4.69,4.690,3.01,,*
1,1,PN4,315,7.55,7.599,7.44,,
2,1,PN4,355,9.61,9.667,9.48,,
3,1,PN4,400,12.17,12.254,12.03,,
4,1,PN4,450,15.35,15.452,15.19,,
5,1,PN4,500,19.11,19.237,18.87,,
6,1,PN4,560,23.80,23.955,23.55,,
7,1,PN4,630,30.11,30.305,29.78,,
8,1,PN4,710,38.31,38.623,37.92,,
9,1,PN4,800,48.56,48.976,48.12,,
10,1,PN4,900,61.23,61.774,60.77,,
11,1,PN4,1000,75.80,76.489,75.20,,
12,1,PN5,315,9.43,9.491,9.31,,
13,1,PN5,355,11.93,12.005,11.80,,
14,1,PN5,400,15.19,15.287,15.00,,
15,1,PN5,450,19.13,19.252,18.93,,
16,1,PN5,500,23.59,23.744,23.32,,
17,1,PN5,560,29.69,29.884,29.36,,
18,1,PN5,630,37.46,37.698,37.07,,
19,1,PN5,710,47.59,47.986,47.19,,
20,1,PN5,800,60.27,60.788,59.76,,
21,1,PN5,900,76.32,76.998,75.73,,
22,1,PN5,1000,93.56,94.412,93.30,,
228,1,PN6,32,0.15,0.151,0.15,,*
229,1,PN6,40,0.19,0.191,0.19,,*
23,1,PN6,50,0.33,0.313,0.30,,
24,1,PN6,63,0.49,0.495,0.48,,
25,1,PN6,75,0.67,0.677,0.66,,
26,1,PN6,90,0.98,0.983,0.95,,
27,1,PN6,110,1.43,1.443,1.40,,
28,1,PN6,125,1.85,1.859,1.81,,
29,1,PN6,140,2.33,2.346,2.29,,
30,1,PN6,160,3.06,3.077,3.00,,
31,1,PN6,180,3.81,3.831,3.76,,
32,1,PN6,200,4.72,4.752,4.66,,
33,1,PN6,225,5.93,5.971,5.85,,
34,1,PN6,250,7.35,7.398,7.26,,
35,1,PN6,280,9.17,9.227,9.06,,
36,1,PN6,315,11.68,11.754,11.52,,
37,1,PN6,355,14.76,14.856,14.60,,
38,1,PN6,400,18.72,18.838,18.51,,
39,1,PN6,450,23.73,23.818,23.40,,
40,1,PN6,500,29.19,29.381,28.88,,
41,1,PN6,560,36.59,36.829,36.24,,
42,1,PN6,630,46.36,46.665,45.91,,
43,1,PN6,710,58.92,59.410,58.39,,
44,1,PN6,800,74.60,75.243,74.02,,
45,1,PN6,900,94.70,95.544,93.62,,
46,1,PN6,1000,116.37,117.426,115.51,,
225,1,PN6,105,1.40,1.409,1.40,,
230,1,PN8,32,0.16,0.161,0.16,*,
