pn_id,daimeter_id,od_min,od_mx,ovality_max,COIL,wt_min,wt_ave,wt_ax,pipe_id,prod_value
1,50,50,50.4,1.4,900,1.6,1.68,1.76,46.64,0.24
1,63,63,63.4,1.5,1134,1.6,1.68,1.76,59.64,0.31
1,75,75,75.5,1.6,1350,1.8,1.89,1.98,71.22,0.41
1,90,90,90.6,1.8,1620,2.2,2.31,2.42,85.38,0.61
1,110,110,110.7,2.2,1980,2.7,2.84,2.97,104.33,0.91
1,125,125,125.8,2.5,2250,3,3.15,3.3,118.7,1.15
1,140,140,140.9,2.8,2520,3.4,3.57,3.74,132.86,1.46
1,160,160,161,3.2,2880,3.9,4.1,4.29,151.81,1.92
1,180,180,181.1,3.6,3240,4.4,4.62,4.84,170.76,2.43
1,200,200,201.2,4,3600,4.9,5.15,5.39,189.71,3.01
1,225,225,226.4,4.5,4050,5.5,5.78,6.05,213.45,3.80
1,250,250,251.5,5,4500,6.1,6.41,6.71,237.19,4.68
1,280,280,281.7,9.8,5040,6.8,7.14,7.48,265.72,5.85
1,315,315,316.9,11.1,5670,7.7,8.09,8.47,298.83,7.44
1,355,355,357.2,12.5,6390,8.7,9.14,9.57,336.73,9.48
1,400,400,402.4,14,7200,9.8,10.29,10.78,379.42,12.03
1,450,450,452.7,15.6,8100,11,11.55,12.1,426.9,15.19
1,500,500,503,17.5,9000,12.3,12.92,13.53,474.17,18.87
1,560,560,563.4,19.6,10080,13.7,14.39,15.07,531.23,23.55
1,630,630,633.8,22.1,11340,15.4,16.17,16.94,597.66,29.78
1,710,710,716.4,0,12780,17.4,18.27,19.14,673.46,37.92
1,800,800,807.2,0,14400,19.6,20.58,21.56,758.84,48.12
1,900,900,908.1,0,16200,22,23.1,24.2,853.8,60.77
1,1000,1000,1009,0,18000,24.5,25.73,26.95,948.55,75.20
2,50,50,50.4,1.4,900,1.6,1.68,1.76,46.64,0.24
2,63,63,63.4,1.5,1134,1.9,2,2.09,59.01,0.37
2,75,75,75.5,1.6,1350,2.3,2.42,2.53,70.17,0.53
2,90,90,90.6,1.8,1620,2.7,2.84,2.97,84.33,0.74
2,110,110,110.7,2.2,1980,3.3,3.47,3.63,103.07,1.11
2,125,125,125.8,2.5,2250,3.8,3.99,4.18,117.02,1.45
2,140,140,140.9,2.8,2520,4.2,4.41,4.62,131.18,1.79
2,160,160,161,3.2,2880,4.8,5.04,5.28,149.92,2.34
2,180,180,181.1,3.6,3240,5.5,5.78,6.05,168.45,3.02
2,200,200,201.2,4,3600,6.1,6.41,6.71,187.19,3.72
2,225,225,226.4,4.5,4050,6.8,7.14,7.48,210.72,4.67
2,250,250,251.5,5,4500,7.6,7.98,8.36,234.04,5.79
2,280,280,281.7,9.8,5040,8.5,8.93,9.35,262.15,7.26
2,315,315,316.9,11.1,5670,9.7,10.19,10.67,294.63,9.31
2,355,355,357.2,12.5,6390,10.9,11.45,11.99,332.11,11.80
2,400,400,402.4,14,7200,12.3,12.92,13.53,374.17,15.00
2,450,450,452.7,15.6,8100,13.8,14.49,15.18,421.02,18.93
2,500,500,503,17.5,9000,15.3,16.07,16.83,467.87,23.32
2,560,560,563.4,19.6,10080,17.2,18.06,18.92,523.88,29.36
2,630,630,633.8,22.1,11340,19.3,20.27,21.23,589.47,37.07
2,710,710,716.4,0,12780,21.8,22.89,23.98,664.22,47.19
