id;Production Mass (kg/m);wt_max;wt_ave
1; 7.30478606838636 ;8.09; 7.895 
2; 9.30057579389989 ;9.14; 8.92 
3; 11.8013832465637 ;10.29; 10.045 
4; 14.9031273659089 ;11.55; 11.275 
5; 18.5165546278284 ;12.92; 12.61 
6; 23.1018665684141 ;14.39; 14.045 
7; 29.2101296371814 ;16.17; 15.785 
8; 37.1921451864345 ;18.27; 17.835 
9; 47.205532986255 ;20.58; 20.09 
10; 59.4837203361866 ;23.10; 22.5 
11; 73.4366917730699 ;25.73; 25,000 
12; 9.1401098436042 ;10.19; 9.945 
13; 11.575865267023 ;11.45; 11.175 
14; 14.7174297734349 ;12.92; 12.61 
15; 18.5743431280397 ;14.49; 14.145 
16; 22.8865812198452 ;16.07; 15.685 
17; 28.8082217704206 ;18.06; 17.63 
18; 36.373694386419 ;20.27; 19.785 
19; 46.2032331647666 ;22.89; 22.3 
20; 58.3727549991069 ;25.73; 25,000 
21; 73.8144651794873 ;29.00; 28.1 
22; 90.7836886766212 ;32.13; 31.1 
23; 0.296149465007727 ;2.10; 2.05 
24; 0.467029566713377 ;2.63; 2.565 
25; 0.645563127456091 ;3.05; 2.975 
26; 0.93460248962619 ;3.68; 3.59 
27; 1.37086938849599 ;4.41; 4.305 
28; 1.7799354873724 ;5.04; 4.92 
29; 2.24230848995021 ;5.67; 5.535 
30; 2.94172767692279 ;6.51; 6.355 
31; 3.68597774229215 ;7.25; 7.075 
32; 4.56940110928627 ;8.09; 7.895 
33; 5.74138081331783 ;9.03; 8.815 
34; 7.11974194948961 ;10.08; 9.84 
35; 8.89151609719662 ;11.24; 10.97 
36; 11.3090727032791 ;12.71; 12.405 
37; 14.3239250978444 ;14.28; 13.94 
38; 18.161024253853 ;16.07; 15.685 
39; 22.9655232532713 ;18.06; 17.63 
40; 28.3401566333737 ;20.06; 19.58 
41; 35.5038611759445 ;22.47; 21.9 
42; 44.8689600289496 ;25.31; 24.6 
43; 56.9408072972474 ;28.56; 27.7 
44; 72.0441513298113 ;32.13; 31.1 
45; 90.9620456880249 ;36.12; 34.9 
46; 112.082649137075 ;40.11; 38.7 
47; 0.234387324234478 ;2.10; 2.05 
48; 0.352340660683228 ;2.52; 2.46 
49; 0.555164442875538 ;3.15; 3.075 
50; 0.792766486537263 ;3.78; 3.69 
51; 1.13718231136244 ;4.52; 4.41 
52; 1.71219951651239 ;5.57; 5.435 
53; 2.20212912927018 ;6.30; 6.15 
54; 2.75550465433412 ;7.04; 6.87 
55; 3.61796286264276 ;8.09; 7.895 
56; 4.54628338935547 ;9.03; 8.815 
57; 5.63745057093165 ;10.08; 9.84 
58; 7.13489837883537 ;11.34; 11.07 
59; 8.74057816223013 ;12.50; 12.2 
60; 11.0182145967026 ;14.07; 13.735 
61; 13.8791110718884 ;15.75; 15.375 
62; 17.6254669557627 ;17.75; 17.325 
63; 22.4411189926898 ;20.06; 19.58 
64; 28.3684057327272 ;22.58; 22,000 
65; 34.9623126489205 ;25.10; 24.4 
66; 43.6617963916313 ;28.04; 27.2 
67; 55.0880635855442 ;31.50; 30.5 
68; 70.0191063092873 ;35.60; 34.4 
69; 88.5459408688491 ;40.01; 38.6 
70; 112.004708328206 ;45.05; 43.4 
71; 138.216922406855 ;50.09; 48.2 
72; 0.184977611615879 ;2.10; 2.05 
73; 0.27822609175533 ;2.52; 2.46 
74; 0.434728268367703 ;3.15; 3.075 
75; 0.693585752776542 ;3.99; 3.895 
76; 0.978634000218066 ;4.73; 4.615 
77; 1.40851958951136 ;5.67; 5.535 
78; 2.10408481889968 ;6.93; 6.765 
79; 2.68316665078966 ;7.77; 7.585 
80; 3.3712484929871 ;8.72; 8.51 
81; 4.40931190804928 ;9.98; 9.74 
82; 5.58648836898913 ;11.24; 10.97 
83; 6.90277787580664 ;12.50; 12.2 
84; 8.74227970920843 ;14.07; 13.735 
85; 10.7326666031586 ;15.54; 15.17 
86; 13.4812887707398 ;17.43; 17.015 
87; 17.0857011703363 ;19.64; 19.17 
88; 21.6964073682977 ;22.16; 21.6 
89; 27.3993728079317 ;24.89; 24.2 
90; 34.6475366260918 ;28.04; 27.2 
91; 42.7453064783034 ;31.19; 30.2 
92; 53.4357304886817 ;34.86; 33.7 
93; 67.6087257860855 ;39.27; 37.9 
94; 85.6572803530739 ;44.21; 42.6 
95; 108.537442000943 ;49.77; 47.9 
96; 137.158831487852 ;55.97; 53.8 
97; 169.390835724366 ;62.27; 59.8 
98; 0.141744113074605 ;2.10; 2.05 
99; 0.218934436613011 ;2.52; 2.46 
100; 0.34208505720783 ;3.15; 3.075 
101; 0.528286161768491 ;3.89; 3.795 
102; 0.844868727214841 ;4.94; 4.82 
103; 1.19774084358746 ;5.88; 5.74 
104; 1.72061219796286 ;7.04; 6.87 
105; 2.544530830429 ;8.51; 8.305 
106; 3.28341128021559 ;9.66; 9.43 
107; 4.118138061358 ;10.82; 10.56 
108; 5.38960836432972 ;12.39; 12.095 
109; 6.83416699149879 ;13.97; 13.635 
110; 8.39632231641349 ;15.44; 15.07 
111; 10.661847044441 ;17.43; 17.015 
112; 13.1336451208624 ;19.32; 18.86 
113; 16.289694656958 ;21.13; 20.865 
114; 20.7997114678908 ;24.36; 23.7 
115; 26.3180231705496 ;27.41; 26.6 
116; 33.3394747402615 ;30.87; 29.9 
117; 42.1520283923976 ;34.76; 33.6 
118; 51.9968232480328 ;38.64; 37.3 
119; 65.1157045057417 ;43.26; 41.7 
120; 82.2302949927444 ;48.62; 46.8 
121; 104.362080261683 ;54.31; 52.7 
122; 132.332195506107 ;61.74; 59.3 
123; 167.454065373337 ;69.51; 66.7 
124; 203.878333086171 ;76.13; 73,000 
125; 0.110863042687981 ;2.10; 2.05 
126; 0.160974433481511 ;2.42; 2.36 
127; 0.267970488279932 ;3.15; 3.075 
128; 0.413950881654111 ;3.89; 3.795 
129; 0.643286665330809 ;4.83; 4.715 
130; 1.02191329312713 ;6.09; 5.945 
131; 1.42857066851339 ;7.14; 6.97 
132; 2.06618756932122 ;8.61; 8.405 
133; 3.08038677106577 ;10.50; 10.25 
134; 3.98918887958077 ;11.97; 11.685 
135; 4.98097987281658 ;13.34; 13.02 
136; 6.53910062354512 ;15.33; 14.965 
137; 8.26475027728487 ;17.22; 16.81 
138; 10.1922324308575 ;19.11; 18.655 
139; 12.9067810279315 ;21.53; 21,000 
140; 15.8525639919536 ;23.84; 23.2 
141; 19.8277260114876 ;26.67; 25.9 
142; 25.0654568277945 ;30.03; 29.1 
143; 31.7523986175038 ;33.81; 32.7 
144; 40.2681927151929 ;38.12; 36.8 
145; 50.964431405166 ;42.95; 41.4 
146; 62.7960992655398 ;47.67; 45.9 
147; 78.622632774748 ;53.34; 51.3 
148; 99.4873903216287 ;60.06; 57.7 
149; 126.31110984968 ;67.73; 65,000 
150; 160.088643871329 ;76.23; 73.1 
151; 202.5290863972 ;85.79; 82.2 
152; 248.475148033362 ;94.71; 90.7 
153; 0.0861581863786817 ;2.10; 2.05 
154; 0.125423542694958 ;2.42; 2.36 
155; 0.203120240468021 ;3.15; 3.075 
156; 0.31472751695232 ;3.78; 3.69 
157; 0.491993522735188 ;4.73; 4.615 
158; 0.765405858174715 ;5.88; 5.74 
159; 1.22211188305784 ;7.46; 7.28 
160; 1.72216318089311 ;8.82; 8.61 
161; 2.4847179630743 ;10.61; 10.355 
162; 3.69996769569381 ;12.92; 12.61 
163; 4.78378661359197 ;14.70; 14.35 
164; 6.00825411976284 ;16.49; 16.095 
165; 7.83107038359695 ;18.80; 18.35 
166; 9.89290906969121 ;21.11; 20.6 
167; 12.2186302682234 ;23.52; 22.9 
168; 15.4315269591213 ;26.46; 25.7 
169; 18.960796450146 ;29.30; 28.4 
170; 23.7792075224129 ;32.87; 31.8 
171; 30.0405328425107 ;36.96; 35.7 
172; 38.1267034634063 ;41.69; 40.2 
173; 48.3159502973149 ;46.94; 45.2 
174; 61.0973993712871 ;52.82; 50.8 
175; 75.2603620867994 ;58.59; 56.3 
176; 94.3333848659115 ;65.63; 63,000 
177; 119.280348767042 ;73.82; 70.8 
178; 151.512955561026 ;83.27; 79.8 
179; 192.143405827759 ;93.77; 89.8 
180; 0.0969828300657161 ;2.42; 2.36 
181; 0.156798634888085 ;3.15; 3.075 
182; 0.231568560385334 ;3.68; 3.59 
183; 0.373525074968452 ;4.62; 4.51 
184; 0.583849266600202 ;5.78; 5.64 
185; 0.914966572721645 ;7.25; 7.075 
186; 1.43903008705334 ;9.03; 8.815 
187; 2.05016082102835 ;10.82; 10.56 
188; 2.94014272481512 ;12.92; 12.61 
189; 4.40821886879697 ;15.86; 15.48 
190; 5.67593802555292 ;17.96; 17.53 
191; 7.13397194672377 ;20.16; 19.68 
192; 9.28613369643598 ;23.00; 22.4 
193; 11.7136871075601 ;25.83; 25.1 
194; 14.4661696348987 ;28.77; 27.9 
195; 18.2659573025102 ;32.34; 31.3 
196; 22.5082631767937 ;35.91; 34.7 
197; 28.1953512270679 ;40.22; 38.8 
198; 35.6504332807552 ;45.26; 43.6 
199; 45.1737335977604 ;50.93; 49,000 
200; 57.3422612122736 ;57.44; 55.2 
201; 72.475612606891 ;64.58; 62,000 
